id,_id,name,code,sat_code,magnitude,value,created_at,updated_at,deleted_at,is_deleted
ef95fdba-be84-40a6-ba17-76b45f4a90c4,5df8f4def290f74d58745b68,Domo,dome,xif,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
61f7f5ac-664e-40be-8232-817befbe4e42,5df8f4def290f74d58745b6b,Lata,can,xcx,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
097b2f1d-3f7c-4421-88b8-0037ca2dbc63,5df8f4def290f74d58745b6e,Botella,bot,xbs,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
8e8bb93c-67d0-4681-911b-865399100264,5df8f4def290f74d58745b6f,Bote,bt,xbq,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
5c225913-6aaa-4d1a-836b-6d8b06f2e19c,5df8f4def290f74d58745b70,Docena,dc,dzn,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
142484bf-583d-4cba-8fd7-56daa019749a,5df8f4def290f74d58745b6d,Orden,ord,,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
57240ab6-5538-443e-9fb3-7553c323e794,5eb1d80f8991c83bab4d1903,Conjunto,set,set,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
6fecc9b7-62e1-4b2a-9a30-1271b30fff21,5eb63868d0787acc6d742e75,Unidad de servicio,e48,e48,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
1776be51-684e-4954-8c58-73a576f0eaad,5edee907a3f8a2414c001e27,Elemento,el,ea,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
5aa9bb1d-7eb6-4c8a-b104-d7c546f1bfab,5edf03ddd36d8245a26e5a52,Unidades de empaque,ue,xun,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
6fba1b8c-230b-41e7-9583-bec00107864e,5ee2ec53a4fcd81ae4399117,Número de paquetes,No de paq,nmp,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
7201a20a-0671-47d2-b2c1-a505fa738f87,5ef3a50bbbed805d774d7f48,Kilogramo neto,kg neto,58,mass,1000,18:01:29.472164+00,18:01:29.472164+00,NULL,False
2fd9c5ab-3976-4c38-aafa-0ed68758e95a,5ef6d071bd50af51a12101f9,Cambro,Caja Base,bb,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
3df10618-a207-4281-99a6-7a339852bf9c,5f0f7e9a3caee934a4a19696,Actividad,ACT,act,custom,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
498efc31-ba46-48eb-98a5-f5c2e87abd25,5f1763fef38f567f86fd652f,Kilogramo peso seco,kg ps,mnd,mass,1,18:01:29.472164+00,18:01:29.472164+00,NULL,False
