provider,product,contentUnit,createdAt,updatedAt,isDeleted,deletedAt,brand,contentQuantity,status,description,in_stock,external_id,country_id
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a52,5df8f4def290f74d58745b50,2020-01-02T22:56:53.813Z,2023-08-23T16:36:03.788Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a54,5df8f4def290f74d58745b50,2020-01-02T22:56:53.839Z,2023-08-15T00:00:23.935Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a56,5df8f4def290f74d58745b50,2020-01-02T22:56:53.868Z,2022-03-31T19:16:16.271Z,false,,astra,1.56,published,"REBANADA, LATA CONTENIDO NETO 3 KG, MASA DRENADA 1.56 KG",,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a57,5df8f4def290f74d58745b50,2020-01-02T22:56:53.882Z,2023-07-03T20:04:52.686Z,false,,,0.935,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a59,5df8f4def290f74d58745b50,2020-01-02T22:56:53.913Z,2023-05-29T02:51:07.417Z,false,,,0.8,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a59,5df8f4def290f74d58745b50,2020-01-02T22:56:53.923Z,2023-04-24T23:36:54.021Z,false,,,0.22,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a5a,5df8f4def290f74d58745b4e,2020-01-02T22:56:53.944Z,2023-08-25T22:59:19.967Z,false,,,800,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a5b,5df8f4def290f74d58745b50,2020-01-02T22:56:53.959Z,2023-06-06T17:41:49.784Z,false,,,0.46,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a5c,5df8f4def290f74d58745b50,2020-01-02T22:56:53.981Z,2023-05-06T16:59:00.756Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a5f,5df8f4def290f74d58745b50,2020-01-02T22:56:54.046Z,2023-08-29T21:45:08.971Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a61,5df8f4def290f74d58745b50,2020-01-02T22:56:54.074Z,2023-08-29T21:45:51.292Z,false,,,1,published,,,,
5e0e753325f58f21dd52bc3f,5dfa4d4842c14205ef129a62,5df8f4def290f74d58745b50,2020-01-02T22:56:54.088Z,2023-01-25T17:34:58.803Z,false,,,0.5,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a64,5df8f4def290f74d58745b50,2020-01-02T22:56:54.125Z,2022-11-30T21:40:09.131Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a65,5df8f4def290f74d58745b50,2020-01-02T22:56:54.138Z,2023-05-29T01:40:02.976Z,false,,,0.21,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a65,5df8f4def290f74d58745b50,2020-01-02T22:56:54.146Z,2023-08-29T21:46:16.574Z,false,,,3.33,published,,,,
5e0e753325f58f21dd52bc3f,5dfa4d4842c14205ef129a66,5df8f4def290f74d58745b50,2020-01-02T22:56:54.160Z,2021-11-09T19:03:58.864Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a67,5df8f4def290f74d58745b50,2020-01-02T22:56:54.173Z,2020-08-08T01:27:20.994Z,false,,,0.84,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a6d,5df8f4def290f74d58745b50,2020-01-02T22:56:54.277Z,2023-05-05T21:48:46.137Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a6e,5df8f4def290f74d58745b50,2020-01-02T22:56:54.300Z,2023-06-19T16:35:10.511Z,false,,nutrigueña,1,published,BOLSA DE KG,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a70,5df8f4def290f74d58745b50,2020-01-02T22:56:54.341Z,2023-07-05T19:14:04.134Z,false,,,0.482,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a70,5df8f4def290f74d58745b50,2020-01-02T22:56:54.350Z,2023-08-09T17:08:41.717Z,false,,huy fong foods,0.793,published,,,,
5e0e753325f58f21dd52bc42,5dfa4d4842c14205ef129a73,5df8f4def290f74d58745b50,2020-01-02T22:56:54.397Z,2020-11-25T03:25:37.363Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a74,5df8f4def290f74d58745b50,2020-01-02T22:56:54.420Z,2023-08-02T00:07:16.893Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a76,5df8f4def290f74d58745b50,2020-01-02T22:56:54.447Z,2023-05-04T23:54:31.013Z,false,,heinz,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a76,5df8f4def290f74d58745b50,2020-01-02T22:56:54.463Z,2023-08-05T00:40:41.867Z,false,,,1.13,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a77,5df8f4def290f74d58745b50,2020-01-02T22:56:54.491Z,2023-07-04T18:32:58.720Z,false,,,1,published,,,,
5e0e753325f58f21dd52bc40,5dfa4d4842c14205ef129a7c,5df8f4def290f74d58745b50,2020-01-02T22:56:54.543Z,2021-11-07T01:49:30.703Z,false,,,9,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a7d,5df8f4def290f74d58745b54,2020-01-02T22:56:54.564Z,2023-08-29T16:24:12.117Z,false,,,1.89,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a82,5df8f4def290f74d58745b62,2020-01-02T22:56:54.636Z,2023-08-28T18:17:34.992Z,false,,genuino metco,2000,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a83,5df8f4def290f74d58745b50,2020-01-02T22:56:54.657Z,2020-08-08T01:28:38.409Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4a42c14205ef129b5f,5df8f4def290f74d58745b50,2020-01-02T22:56:54.671Z,2023-08-08T23:58:18.007Z,false,,turin,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a86,5df8f4def290f74d58745b62,2020-01-02T22:56:54.696Z,2021-03-01T17:54:38.864Z,false,,CARLOS V,20,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a8a,5df8f4def290f74d58745b50,2020-01-02T22:56:54.739Z,2023-05-16T17:58:24.297Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a8d,5df8f4def290f74d58745b50,2020-01-02T22:56:54.779Z,2023-06-19T16:35:58.276Z,false,,hersheys,2.26,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a8e,5df8f4def290f74d58745b50,2020-01-02T22:56:54.801Z,2023-08-16T16:57:16.878Z,false,,maille,0.865,published,PIEZA DE 865 GR,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a90,5df8f4def290f74d58745b50,2020-01-02T22:56:54.829Z,2023-08-15T19:48:42.081Z,false,,,1,published,,,,
5e0e753325f58f21dd52bc43,5dfa4d4842c14205ef129a91,5df8f4def290f74d58745b50,2020-01-02T22:56:54.842Z,2020-11-23T21:34:12.464Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a93,5df8f4def290f74d58745b50,2020-01-02T22:56:54.892Z,2023-08-30T04:57:14.497Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a94,5df8f4def290f74d58745b50,2020-01-02T22:56:54.906Z,2022-12-26T19:59:52.326Z,false,,,1.36,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a95,5df8f4def290f74d58745b50,2020-01-02T22:56:54.919Z,2021-02-17T03:17:01.502Z,false,,nutella,0.65,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a95,5df8f4def290f74d58745b50,2020-01-02T22:56:54.926Z,2020-10-04T21:05:42.838Z,false,,nutella,0.385,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a97,5df8f4def290f74d58745b50,2020-01-02T22:56:54.953Z,2023-06-13T20:01:35.918Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a98,5df8f4def290f74d58745b50,2020-01-02T22:56:54.970Z,2023-05-05T22:45:10.493Z,false,,,1,published,,,,
5dfd6b834af27574322bc21a,5dfa4d4842c14205ef129a99,5df8f4def290f74d58745b50,2020-01-02T22:56:54.984Z,2023-08-29T17:06:42.899Z,false,,knorr,4,published,CUBETA DE 4 KG,,,
