id,_id,name,created_at,updated_at,deleted_at,is_deleted
97d28936-2068-41c3-8941-62c949278510,605e7e9a80fa88001fcfd1a1,COMIDA INTERNACIONAL,19:08:11.619924+00,19:08:11.619924+00,NULL,False
a51940cc-cd8a-4a16-a57f-87b2aa90d96f,6092dd07cf13b6001f4a2b23,GASTOS,19:08:11.619924+00,19:08:11.619924+00,NULL,False
6f2e9110-c226-4eb2-88b2-591b478e351b,60c392d8afb9ed001e0537ee,COMISARIATO,19:08:11.619924+00,19:08:11.619924+00,NULL,False
74093a9a-8bcf-46af-8775-df6d70fabb99,60d3750dd1f013001fb649a5,PRODUCTOS DE PRUEBA,19:08:11.619924+00,19:08:11.619924+00,NULL,False
06474694-e077-4978-8fe9-a14f38229755,61293674422e96001ec7b641,MERCH,19:08:11.619924+00,19:08:11.619924+00,NULL,False
8905d839-2e8a-45f2-b755-204faa6cd319,625793fe2e42790020735b6e,LAVANDERIA,19:08:11.619924+00,19:08:11.619924+00,NULL,False
d54cc00b-1e3f-480d-8889-03133c9f65a4,627d4fb37f0fb7001eb7c8f6,TECNOLOGIA,19:08:11.619924+00,19:08:11.619924+00,NULL,False
fbed47d4-6684-4273-a38c-3b05c2724bcd,62a8f886b04825001e2e6fbd,UNIFORMES,19:08:11.619924+00,19:08:11.619924+00,NULL,False
3c242904-b30f-45f0-b8ec-9aaf1e135fd6,62aa24cd10ce3e002000a7ae,EQUIPO Y UTENSILIOS DE BARRA,19:08:11.619924+00,19:08:11.619924+00,NULL,False
fa6918bb-b12c-4cf8-8580-74e2d7cf3d07,6375583cef9c20001e33bc60,CARNES Y AVES,19:08:11.619924+00,19:08:11.619924+00,NULL,True
8efe4031-bfee-44e7-a700-810c2c0fd870,637d6d2352f043001e7b82a8,EMPAQUE,19:08:11.619924+00,19:08:11.619924+00,NULL,False
d8eb627e-90f8-440b-a93a-8b5a9baa2df0,63865f76956c8c001e82188b,MANTENIMIENTO,19:08:11.619924+00,19:08:11.619924+00,NULL,False
ccc7a8ed-dedd-448d-9ffd-93e7358d5ef6,6393a4f5956c8c001e835674,PAPELERÍA,19:08:11.619924+00,19:08:11.619924+00,NULL,False
bf47e16a-f6fb-4ae0-9515-96a70ccff7ab,6424af61550c6b001e08756a,Gasto Operativo,19:08:11.619924+00,19:08:11.619924+00,NULL,False
462b395d-c7bf-4b5a-a967-bbd08b42af0a,6424af6b550c6b001e087570,Gasto General,19:08:11.619924+00,19:08:11.619924+00,NULL,True
3cf8d0a0-c6c7-44cf-850e-ed2538051f6c,642ce242bef443001e2cf701,Kokoro Productos,19:08:11.619924+00,19:08:11.619924+00,NULL,False
c1372321-e562-4c7b-b8b7-36df10254f94,6439f20ac7f14b001ebbb710,CERVEZA,19:08:11.619924+00,19:08:11.619924+00,NULL,False
85938176-13aa-448e-ba8f-7691c0f70261,64486f7c1d59ab001e2bff20,MASCOTAS 2.0,19:08:11.619924+00,19:08:11.619924+00,NULL,False
b52e2d66-7481-4b88-8a11-0338743b6b7c,64487cbbdc8796001f7b2bc0,Nuevos Productos,19:08:11.619924+00,19:08:11.619924+00,NULL,True
4a638580-bef5-4982-ab90-2755032cd8ee,64487cbbdc8796001f7b2bc2,Nuevos Productos,19:08:11.619924+00,19:08:11.619924+00,NULL,True
21504c14-341f-448d-baec-3c22695e34c7,645ae06c176a0d001ed29a63,Nuevos Productos,19:08:11.619924+00,19:08:11.619924+00,NULL,False
db8c7c2c-2252-4358-9b3d-70af5d712e03,6475596e4024cf001e62e64b,CIGARROS,19:08:11.619924+00,19:08:11.619924+00,NULL,False
